customer_id,customer_name,company_name,account_type,customer_segment,industry,region,subscription_type,customer_tenure_months,monthly_contract_value,account_manager,account_created_date
ACC-00034,Karen Gonzalez,Unknown,Residential,Individual,Unknown,Waikato,Enterprise,3,96.2,Unassigned,2022-02-04
ACC-00035,Charles Garcia,Unknown,Residential,Individual,Unknown,Wellington,Basic,24,141.8,Unassigned,2018-06-23
ACC-00036,Jennifer Smith,Northern Tech,Business,Corporate,Retail,Waikato,Basic,6,195.05,Unassigned,2020-10-25
ACC-00038,Jennifer Thomas,Unknown,Residential,Individual,Unknown,Auckland,Basic,37,44.67,Unassigned,2021-08-26
ACC-00039,Barbara Anderson,Unknown,Residential,Corporate,Unknown,Wellington,Enterprise,4,41.71,Unassigned,2019-08-16
ACC-00041,Joseph Brown,Unknown,Residential,Individual,Unknown,Canterbury,Free,55,0.0,Unassigned,2020-01-27
ACC-00042,Joseph Martin,Summit Partners,Business,Corporate,Property Management,Wellington,Enterprise,39,248.75,Rob Thompson,2018-04-01
ACC-00044,Barbara Gonzalez,Island Logistics,Business,Corporate,Education,Canterbury,Enterprise,47,276.6,Rob Thompson,2019-02-09
ACC-00045,James Miller,Coastal Solutions,Business,Corporate,Hospitality,Otago,Free,50,0.0,Unassigned,2018-10-25
ACC-00046,Linda Thomas,Harbour Enterprises,Business,Corporate,Trades,Canterbury,Premium,24,287.81,Sarah Chen,2019-09-18
ACC-00047,Richard Wilson,Unknown,Residential,Individual,Unknown,Bay of Plenty,Enterprise,8,0.0,Unassigned,2022-01-11
ACC-00048,David Gonzalez,Island Ltd,Business,Corporate,Healthcare,Auckland,Enterprise,45,203.05,Lisa Hartley,2021-08-22
ACC-00049,Thomas Thomas,Metro Medical,Business,Corporate,Construction,Canterbury,Premium,4,237.38,Sarah Chen,2019-05-21
ACC-00051,Sarah Hernandez,Summit Logistics,Business,Individual,Healthcare,Canterbury,Premium,1,0.0,Unassigned,2021-05-13
ACC-00052,Elizabeth Johnson,Unknown,Residential,Individual,Unknown,Bay of Plenty,Enterprise,35,466.64,Rob Thompson,2018-03-29
ACC-00053,Barbara Jackson,Unknown,Residential,Individual,Unknown,Southland,Enterprise,55,361.92,Mike Patterson,2020-06-01
ACC-00054,David Gonzalez,Alpha Group,Business,Individual,Transport & Logistics,Waikato,Enterprise,4,634.58,Mike Patterson,2018-09-29
ACC-00055,Robert Anderson,Sterling Holdings,Business,Corporate,Agriculture,Wellington,Enterprise,15,221.33,Sarah Chen,2023-07-07
ACC-00056,Barbara Williams,Unknown,Residential,Corporate,Unknown,Hawke's Bay,Enterprise,58,451.2,Rob Thompson,2021-03-30
ACC-00064,David Johnson,Unknown,Residential,Individual,Unknown,Canterbury,Premium,2,126.39,Unassigned,2019-10-03
ACC-00065,Charles Lopez,Highland Plumbing,Business,Corporate,Professional Services,Canterbury,Enterprise,22,638.7,Mike Patterson,2020-11-19
ACC-00067,Barbara Lopez,Highland Transport,Business,Small Business,Healthcare,Wellington,Free,12,0.0,Unassigned,2022-04-26
ACC-00068,David Martin,Island Enterprises,Business,Small Business,Construction,Canterbury,Basic,3,0.0,Unassigned,2019-07-09
ACC-00070,Charles Williams,Kiwi Transport,Business,Corporate,Construction,Canterbury,Free,13,190.08,Unassigned,2020-08-30
ACC-00071,David Moore,Summit Holdings,Business,Corporate,Healthcare,Manawatu-Whanganui,Enterprise,1,240.15,Mike Patterson,2023-08-24
ACC-00072,Joseph Jones,Coastal Consulting,Business,Small Business,Retail,Bay of Plenty,Free,11,0.0,Unassigned,2023-06-10
ACC-00073,Charles Wilson,Coastal Systems,Business,Corporate,Professional Services,Canterbury,Enterprise,42,503.62,Mike Patterson,2019-12-02
ACC-00074,David Garcia,Metro Consulting,Business,Corporate,Education,Wellington,Basic,1,68.12,Unassigned,2018-05-03
ACC-00075,Joseph Hernandez,Pioneer Ltd,Business,Corporate,Education,Otago,Enterprise,46,703.03,Mike Patterson,2021-06-17
ACC-00076,James Martinez,Frontier Consulting,Residential,Individual,Unknown,Waikato,Enterprise,32,142.11,Mike Patterson,2020-04-28
ACC-00077,Barbara Wilson,Unknown,Residential,Small Business,Unknown,Otago,Basic,13,48.67,Unassigned,2020-11-27
ACC-00078,James Miller,Harbour Holdings,Business,Corporate,Education,Auckland,Free,45,0.0,Unassigned,2021-03-17
ACC-00079,Charles Garcia,Pacific Enterprises,Business,Small Business,Professional Services,Wellington,Basic,5,449.05,Sarah Chen,2022-07-10
ACC-00080,Thomas Miller,Unknown,Residential,Individual,Unknown,Wellington,Enterprise,55,330.95,Lisa Hartley,2020-08-12
ACC-00081,Elizabeth Williams,Northern Legal,Business,Corporate,Construction,Canterbury,Free,2,0.0,Unassigned,2022-05-20
ACC-00082,Barbara Davis,Unknown,Residential,Corporate,Unknown,Otago,Basic,13,42.23,Unassigned,2022-02-21
ACC-00083,Linda Hernandez,Unknown,Residential,Individual,Unknown,Auckland,Enterprise,17,339.76,Lisa Hartley,2019-05-12
ACC-00085,Joseph Miller,Unknown,Residential,Corporate,Unknown,Northland,Enterprise,10,318.85,Rob Thompson,2023-07-20
ACC-00086,James Johnson,Kiwi Legal,Business,Corporate,Manufacturing,Auckland,Enterprise,37,268.37,Rob Thompson,2022-09-30
ACC-00087,David Miller,Unknown,Residential,Individual,Unknown,Auckland,Basic,24,41.82,Unassigned,2022-11-30
ACC-00088,Charles Hernandez,Unknown,Residential,Individual,Unknown,Northland,Basic,4,35.47,Unassigned,2018-09-07
ACC-00089,Barbara Johnson,Ridge Partners,Business,Individual,Professional Services,Bay of Plenty,Basic,2,193.75,Unassigned,2018-02-07
ACC-00092,David Brown,Unknown,Residential,Individual,Unknown,Canterbury,Basic,3,0.0,Unassigned,2019-03-12
ACC-00093,James Martin,Unknown,Residential,Corporate,Unknown,Otago,Enterprise,2,355.18,Lisa Hartley,2020-11-06
ACC-00094,Jennifer Rodriguez,Unknown,Residential,Individual,Unknown,Taranaki,Premium,21,134.26,Unassigned,2023-12-26
ACC-00095,Joseph Rodriguez,Harbour Legal,Business,Small Business,Transport & Logistics,Waikato,Enterprise,12,756.05,Lisa Hartley,2019-07-21
ACC-00096,Mary Martin,Apex Group,Business,Corporate,Agriculture,Auckland,Basic,11,462.59,Sarah Chen,2023-05-02
ACC-00097,Jennifer Martinez,Southern Plumbing,Business,Small Business,Trades,Canterbury,Enterprise,7,828.72,Lisa Hartley,2020-12-07
ACC-00098,Michael Gonzalez,Valley Medical,Business,Small Business,Hospitality,Wellington,Free,25,0.0,Unassigned,2019-11-04
ACC-00099,William Martinez,Highland Group,Business,Corporate,Professional Services,Canterbury,Free,20,0.0,Unassigned,2018-06-21
ACC-00101,Patricia Miller,Alpha Transport,Business,Small Business,Professional Services,Auckland,Basic,15,69.36,Unassigned,2023-08-29
ACC-00105,Elizabeth Martinez,Northern Industries,Business,Individual,Trades,Wellington,Premium,52,0.0,Unassigned,2019-03-07
ACC-00108,Barbara Rodriguez,Pacific Dental,Business,Corporate,Construction,Otago,Enterprise,22,0.0,Unassigned,2021-12-14
ACC-00112,Mary Taylor,Frontier Consulting,Business,Corporate,Education,Otago,Enterprise,11,546.41,Mike Patterson,2020-11-22
ACC-00113,Barbara Jackson,Pioneer Partners,Business,Corporate,Healthcare,Waikato,Premium,14,235.91,Mike Patterson,2023-07-25
ACC-00114,Charles Jackson,Island Ltd,Business,Corporate,Construction,Otago,Enterprise,53,0.0,Unassigned,2023-06-22
ACC-00116,David Jones,Gateway Enterprises,Business,Corporate,Hospitality,Wellington,Basic,28,117.13,Unassigned,2018-07-07
ACC-00117,Sarah Lopez,Frontier Engineering,Business,Corporate,Construction,Otago,Enterprise,21,818.9,Mike Patterson,2020-09-07
ACC-00118,Jennifer Wilson,Coastal Engineering,Business,Small Business,Construction,Otago,Free,40,26.65,Unassigned,2019-06-21
ACC-00119,Barbara Lopez,Sterling Dental,Business,Corporate,Retail,Auckland,Enterprise,9,687.53,Lisa Hartley,2021-02-16
ACC-00120,Jennifer Brown,Unknown,Residential,Individual,Unknown,Auckland,Enterprise,24,19.71,Unassigned,2022-01-30
ACC-00121,Richard Anderson,Sterling Consulting,Business,Small Business,Agriculture,Auckland,Free,6,0.0,Unassigned,2023-06-23
ACC-00122,John Davis,Unknown,Residential,Corporate,Unknown,Nelson-Marlborough,Basic,9,132.41,Unassigned,2023-12-06
ACC-00124,Michael Smith,Harbour Holdings,Business,Corporate,Professional Services,Canterbury,Premium,9,229.12,Sarah Chen,2019-09-10
ACC-00125,Susan Lopez,Metro Industries,Business,Small Business,Trades,Canterbury,Premium,26,274.37,Rob Thompson,2019-01-29
ACC-00126,Charles Martinez,Peak Group,Business,Corporate,Construction,Otago,Basic,12,90.39,Unassigned,2019-06-29
ACC-00127,Charles Davis,Pacific Electrical,Business,Small Business,Professional Services,Waikato,Free,22,295.93,Sarah Chen,2020-08-29
ACC-00128,Elizabeth Lopez,Harbour Enterprises,Business,Small Business,Professional Services,Auckland,Premium,5,245.08,Rob Thompson,2018-06-23
ACC-00130,Charles Thomas,Central Consulting,Business,Small Business,Retail,Auckland,Premium,51,169.38,Unassigned,2023-01-04
ACC-00131,Michael Garcia,Harbour Group,Business,Small Business,Retail,Canterbury,Free,41,0.0,Unassigned,2022-03-24
ACC-00133,David Wilson,Unknown,Residential,Corporate,Unknown,Southland,Enterprise,19,0.0,Unassigned,2020-03-19
ACC-00135,Jennifer Lopez,Coastal Group,Business,Corporate,Education,Canterbury,Enterprise,30,0.0,Unassigned,2021-09-29
ACC-00138,Linda Lopez,Unknown,Residential,Corporate,Unknown,Canterbury,Basic,3,44.11,Unassigned,2023-10-11
ACC-00140,David Martin,Pioneer Solutions,Business,Individual,Construction,Otago,Enterprise,8,0.0,Unassigned,2023-11-25
ACC-00141,Charles Davis,Valley Industries,Business,Individual,Professional Services,Canterbury,Premium,17,273.68,Sarah Chen,2023-12-19
ACC-00144,Linda Anderson,Summit Ltd,Business,Corporate,Hospitality,Waikato,Basic,41,93.87,Unassigned,2023-06-26
ACC-00145,James Lopez,Kiwi Services,Business,Corporate,Trades,Wellington,Basic,54,104.61,Sarah Chen,2018-05-25
ACC-00146,Charles Thomas,Unknown,Residential,Individual,Unknown,Auckland,Premium,50,118.17,Unassigned,2022-11-06
ACC-00147,Linda Martinez,Harbour Solutions,Business,Corporate,Healthcare,Wellington,Basic,3,84.34,Unassigned,2020-06-18
ACC-00148,Robert Smith,Southern Ltd,Business,Corporate,Professional Services,Otago,Free,25,0.0,Unassigned,2023-06-27
ACC-00151,Elizabeth Jackson,Unknown,Residential,Corporate,Unknown,Canterbury,Enterprise,10,144.06,Unassigned,2018-07-01
ACC-00152,Joseph Johnson,Metro Electrical,Business,Corporate,Retail,Auckland,Enterprise,36,422.12,Rob Thompson,2023-08-04
ACC-00155,Susan Martinez,Harbour Legal,Business,Corporate,Construction,Wellington,Basic,31,522.86,Rob Thompson,2022-02-10
ACC-00156,Sarah Taylor,Island Group,Business,Corporate,Retail,Canterbury,Premium,5,185.4,Unassigned,2018-09-26
ACC-00157,Jennifer Taylor,Northern Construction,Business,Corporate,Trades,Canterbury,Basic,9,96.78,Unassigned,2020-02-16
ACC-00158,James Martin,Highland Dental,Business,Corporate,Trades,Wellington,Enterprise,5,251.35,Lisa Hartley,2022-10-20
ACC-00159,Sarah Taylor,Island Dental,Business,Corporate,Trades,Wellington,Enterprise,53,439.16,Lisa Hartley,2019-03-25
ACC-00160,Sarah Martinez,Northern Industries,Business,Corporate,Manufacturing,Bay of Plenty,Premium,42,218.88,Rob Thompson,2021-01-22
ACC-00161,Sarah Martin,Unknown,Residential,Individual,Unknown,Canterbury,Basic,6,48.83,Unassigned,2020-11-24
ACC-00162,Michael Jones,Pioneer Medical,Business,Small Business,Retail,Hawke's Bay,Enterprise,9,0.0,Unassigned,2020-06-29
ACC-00163,Barbara Hernandez,Unknown,Residential,Corporate,Unknown,Canterbury,Enterprise,22,440.4,Lisa Hartley,2022-11-02
ACC-00164,Karen Anderson,Ridge Partners,Business,Small Business,Healthcare,Wellington,Enterprise,9,823.56,Rob Thompson,2023-03-15
ACC-00165,Barbara Jones,Summit Consulting,Business,Corporate,Professional Services,Auckland,Premium,23,269.9,Lisa Hartley,2022-07-18
ACC-00166,Sarah Jackson,Highland Solutions,Business,Individual,Education,Hawke's Bay,Enterprise,11,738.12,Rob Thompson,2020-07-10
ACC-00168,Robert Taylor,Valley Systems,Business,Corporate,Construction,Canterbury,Enterprise,27,550.31,Lisa Hartley,2022-01-17
ACC-00170,James Gonzalez,Northern Medical,Business,Corporate,Manufacturing,Canterbury,Free,21,0.0,Unassigned,2023-09-14
ACC-00171,Joseph Hernandez,Island Legal,Business,Small Business,Professional Services,Waikato,Enterprise,1,412.22,Lisa Hartley,2023-11-05
ACC-00173,Elizabeth Garcia,Unknown,Residential,Individual,Unknown,Otago,Free,7,0.0,Unassigned,2023-01-21
ACC-00177,Richard Anderson,Summit Transport,Business,Corporate,Property Management,Canterbury,Basic,18,102.23,Rob Thompson,2021-01-05
ACC-00179,Charles Martin,Ridge Plumbing,Business,Corporate,Healthcare,Wellington,Basic,8,810.75,Sarah Chen,2019-06-11
ACC-00180,Richard Martin,Coastal Electrical,Business,Small Business,Trades,Taranaki,Enterprise,54,470.88,Lisa Hartley,2018-03-26
ACC-00181,David Hernandez,Unknown,Residential,Individual,Unknown,Otago,Free,4,113.85,Unassigned,2023-05-30
ACC-00183,Karen Thomas,Valley Medical,Business,Small Business,Retail,Auckland,Free,60,642.64,Mike Patterson,2018-10-31
ACC-00184,James Martin,Unknown,Residential,Small Business,Unknown,Manawatu-Whanganui,Enterprise,9,317.7,Mike Patterson,2020-02-29
ACC-00185,Linda Jones,Unknown,Residential,Individual,Unknown,Wellington,Enterprise,59,443.9,Sarah Chen,2022-09-08
ACC-00186,Patricia Williams,Alpha Legal,Business,Corporate,Education,Canterbury,Premium,21,237.72,Lisa Hartley,2019-07-04
ACC-00187,Joseph Thomas,Ridge Ltd,Business,Corporate,Construction,Wellington,Premium,37,157.45,Mike Patterson,2018-09-30
ACC-00188,Elizabeth Rodriguez,Pioneer Plumbing,Business,Corporate,Construction,Canterbury,Enterprise,4,184.17,Unassigned,2021-02-13
ACC-00190,Jennifer Miller,Unknown,Residential,Individual,Unknown,Manawatu-Whanganui,Basic,1,58.17,Unassigned,2023-06-07
ACC-00192,James Miller,Metro Dental,Business,Individual,Retail,Waikato,Premium,37,80.47,Unassigned,2019-11-25
ACC-00193,Barbara Williams,Valley Group,Business,Small Business,Technology,Nelson-Marlborough,Basic,4,753.45,Lisa Hartley,2023-09-25
ACC-00194,Barbara Taylor,Central Holdings,Business,Corporate,Construction,Bay of Plenty,Basic,22,61.4,Unassigned,2018-06-21
ACC-00195,David Williams,Unknown,Residential,Individual,Unknown,Wellington,Basic,56,52.36,Unassigned,2023-09-16
ACC-00196,Joseph Martinez,Unknown,Residential,Individual,Unknown,Waikato,Premium,24,114.42,Rob Thompson,2018-03-07
ACC-00197,Charles Davis,Unknown,Residential,Corporate,Unknown,Wellington,Enterprise,12,327.28,Sarah Chen,2021-04-12
ACC-00198,Michael Smith,Metro Services,Business,Corporate,Construction,Manawatu-Whanganui,Premium,16,0.0,Unassigned,2018-05-19
ACC-00199,David Johnson,Unknown,Residential,Corporate,Unknown,Canterbury,Premium,44,42.56,Unassigned,2020-10-09
ACC-00200,Karen Gonzalez,Unknown,Residential,Small Business,Unknown,Auckland,Free,56,0.0,Unassigned,2020-05-10
ACC-00201,Robert Hernandez,Unknown,Residential,Individual,Unknown,Waikato,Free,1,0.0,Unassigned,2020-06-04
ACC-00203,Sarah Jackson,Central Industries,Residential,Individual,Unknown,Canterbury,Free,17,0.0,Unassigned,2019-08-17
ACC-00204,Barbara Moore,Pacific Holdings,Business,Individual,Retail,Canterbury,Enterprise,25,891.43,Sarah Chen,2018-08-24
ACC-00205,Charles Anderson,Apex Transport,Business,Corporate,Construction,Canterbury,Premium,19,190.03,Sarah Chen,2019-06-06
ACC-00208,Barbara Jones,Coastal Electrical,Business,Corporate,Professional Services,Canterbury,Basic,3,53.81,Unassigned,2020-09-13
ACC-00211,Jennifer Martin,Northern Enterprises,Business,Small Business,Healthcare,Canterbury,Free,20,0.0,Unassigned,2020-09-28
ACC-00212,Karen Davis,Northern Electrical,Business,Corporate,Construction,Auckland,Enterprise,2,795.9,Mike Patterson,2020-09-18
ACC-00213,Susan Brown,Frontier Services,Business,Individual,Professional Services,Auckland,Basic,32,271.88,Sarah Chen,2021-02-12
ACC-00214,Susan Garcia,Pioneer Logistics,Business,Corporate,Construction,Canterbury,Enterprise,6,782.47,Mike Patterson,2021-05-11
ACC-00215,Elizabeth Wilson,Ridge Enterprises,Business,Small Business,Professional Services,Canterbury,Basic,16,107.17,Unassigned,2019-03-09
ACC-00217,John Garcia,Metro Holdings,Business,Corporate,Healthcare,Northland,Premium,5,174.41,Unassigned,2019-05-18
ACC-00218,Jennifer Martin,Unknown,Residential,Corporate,Unknown,Wellington,Premium,1,147.62,Unassigned,2021-03-25
ACC-00219,Susan Taylor,Coastal Ltd,Business,Corporate,Manufacturing,Canterbury,Free,38,0.0,Unassigned,2018-08-21
ACC-00220,James Davis,Pioneer Industries,Business,Small Business,Retail,Auckland,Free,17,0.0,Unassigned,2021-10-03
ACC-00221,Sarah Taylor,Unknown,Residential,Individual,Unknown,Canterbury,Basic,41,40.63,Unassigned,2022-08-20
ACC-00222,John Johnson,Unknown,Residential,Individual,Unknown,Canterbury,Free,21,0.0,Unassigned,2023-10-29
ACC-00223,Elizabeth Gonzalez,Unknown,Residential,Individual,Unknown,Wellington,Free,2,0.0,Unassigned,2020-07-08
ACC-00227,Mary Moore,Highland Electrical,Business,Individual,Construction,Wellington,Enterprise,10,154.48,Unassigned,2021-08-15
ACC-00229,Jennifer Gonzalez,Central Enterprises,Business,Corporate,Education,Canterbury,Enterprise,9,199.13,Unassigned,2018-08-16
ACC-00230,Barbara Jones,Unknown,Residential,Individual,Unknown,Otago,Basic,9,48.05,Unassigned,2019-04-08
ACC-00231,Charles Garcia,Unknown,Residential,Corporate,Unknown,Wellington,Free,60,0.0,Unassigned,2020-04-13
ACC-00232,Elizabeth Thomas,Ridge Consulting,Business,Corporate,Property Management,Canterbury,Basic,4,103.82,Unassigned,2021-06-02
ACC-00234,Robert Thomas,Ridge Engineering,Business,Corporate,Construction,Otago,Basic,11,115.1,Unassigned,2023-07-19
ACC-00238,Elizabeth Jackson,Ridge Dental,Residential,Individual,Unknown,Hawke's Bay,Enterprise,9,384.01,Rob Thompson,2022-07-06
ACC-00239,Barbara Gonzalez,Apex Group,Business,Corporate,Construction,Bay of Plenty,Enterprise,9,95.03,Unassigned,2018-11-05
ACC-00240,Patricia Lopez,Summit Industries,Business,Corporate,Hospitality,Auckland,Enterprise,31,560.53,Sarah Chen,2021-12-11
ACC-00241,Charles Miller,Highland Solutions,Business,Individual,Trades,Canterbury,Free,56,0.0,Unassigned,2020-04-18
ACC-00242,Jennifer Jackson,Northern Industries,Business,Corporate,Hospitality,Canterbury,Basic,1,169.94,Unassigned,2020-05-18
ACC-00243,Barbara Martinez,Alpha Electrical,Business,Individual,Property Management,Northland,Enterprise,56,503.18,Mike Patterson,2020-07-19
ACC-00246,Charles Johnson,Coastal Enterprises,Business,Corporate,Healthcare,Auckland,Basic,18,96.01,Unassigned,2019-12-14
ACC-00247,Barbara Martin,Unknown,Residential,Corporate,Unknown,Auckland,Basic,4,382.1,Mike Patterson,2020-06-05
ACC-00248,Susan Gonzalez,Unknown,Residential,Individual,Unknown,Otago,Enterprise,35,130.34,Unassigned,2019-07-30
ACC-00249,Patricia Moore,Metro Group,Business,Corporate,Construction,Bay of Plenty,Free,3,0.0,Unassigned,2018-09-05
ACC-00250,Barbara Taylor,Coastal Logistics,Business,Corporate,Hospitality,Wellington,Free,4,73.09,Unassigned,2018-08-03
ACC-00251,Patricia Hernandez,Unknown,Residential,Individual,Unknown,Canterbury,Free,10,0.0,Unassigned,2022-05-27
ACC-00252,Linda Anderson,Gateway Dental,Business,Small Business,Education,Auckland,Premium,5,238.14,Lisa Hartley,2019-06-02
ACC-00253,Jennifer Johnson,Unknown,Residential,Corporate,Unknown,Auckland,Premium,3,284.03,Sarah Chen,2019-09-26
ACC-00254,Barbara Smith,Alpha Solutions,Business,Corporate,Retail,Otago,Enterprise,7,692.78,Mike Patterson,2023-06-13
ACC-00256,John Taylor,Unknown,Residential,Individual,Unknown,Canterbury,Basic,2,51.18,Unassigned,2018-10-03
ACC-00257,Barbara Garcia,Sterling Transport,Business,Individual,Trades,Auckland,Free,32,0.0,Unassigned,2021-12-18
ACC-00258,Charles Miller,Pioneer Plumbing,Business,Corporate,Hospitality,Auckland,Basic,10,96.03,Unassigned,2020-08-02
ACC-00261,John Jackson,Harbour Electrical,Business,Individual,Trades,Manawatu-Whanganui,Basic,4,104.37,Unassigned,2021-02-28
ACC-00262,Charles Anderson,Peak Systems,Business,Corporate,Retail,Auckland,Free,14,203.33,Sarah Chen,2020-02-29
ACC-00265,John Jones,Alpha Legal,Business,Corporate,Hospitality,Otago,Free,3,581.82,Mike Patterson,2020-05-25
ACC-00266,Charles Thomas,Unknown,Residential,Individual,Unknown,Waikato,Basic,1,44.99,Unassigned,2020-11-17
ACC-00267,William Garcia,Southern Engineering,Business,Small Business,Property Management,Bay of Plenty,Premium,55,268.33,Rob Thompson,2020-02-01
ACC-00268,Sarah Garcia,Metro Construction,Business,Corporate,Trades,Bay of Plenty,Enterprise,31,769.82,Lisa Hartley,2023-03-10
ACC-00269,Thomas Taylor,Frontier Plumbing,Business,Small Business,Construction,Waikato,Enterprise,33,824.96,Sarah Chen,2020-12-11
ACC-00271,Richard Garcia,Highland Partners,Business,Corporate,Trades,Manawatu-Whanganui,Basic,18,55.62,Unassigned,2022-04-10
ACC-00272,Jessica Taylor,Peak Partners,Business,Corporate,Manufacturing,Auckland,Enterprise,14,736.21,Mike Patterson,2023-07-04
ACC-00273,Jennifer Rodriguez,Unknown,Residential,Individual,Unknown,Canterbury,Basic,2,374.2,Rob Thompson,2022-09-21
ACC-00274,James Hernandez,Apex Medical,Business,Individual,Construction,Southland,Premium,4,223.86,Mike Patterson,2018-07-17
ACC-00276,Richard Rodriguez,Sterling Logistics,Residential,Small Business,Unknown,Canterbury,Basic,24,373.7,Mike Patterson,2022-08-25
ACC-00277,James Smith,Unknown,Residential,Individual,Unknown,Manawatu-Whanganui,Basic,53,41.75,Unassigned,2019-12-24
ACC-00278,Joseph Martinez,Ridge Construction,Business,Corporate,Construction,Canterbury,Enterprise,7,746.91,Lisa Hartley,2019-07-20
ACC-00279,Patricia Lopez,Gateway Industries,Business,Small Business,Professional Services,Auckland,Basic,5,79.96,Unassigned,2019-09-16
ACC-00280,Mary Martinez,Gateway Systems,Business,Corporate,Trades,Auckland,Enterprise,10,415.17,Lisa Hartley,2018-10-20
ACC-00281,Jennifer Brown,Northern Dental,Business,Corporate,Construction,Canterbury,Enterprise,12,714.14,Sarah Chen,2022-03-11
ACC-00283,Charles Anderson,Unknown,Residential,Corporate,Unknown,Otago,Enterprise,7,358.89,Sarah Chen,2021-06-27
ACC-00284,Jennifer Jackson,Gateway Industries,Business,Corporate,Trades,Canterbury,Free,8,0.0,Unassigned,2020-08-08
ACC-00286,Karen Martinez,Unknown,Residential,Individual,Unknown,Waikato,Premium,17,148.81,Rob Thompson,2021-02-22
ACC-00287,Linda Miller,Island Logistics,Business,Small Business,Construction,Canterbury,Free,16,0.0,Unassigned,2018-03-27
ACC-00288,Karen Smith,Unknown,Residential,Individual,Unknown,Wellington,Free,21,0.0,Unassigned,2022-03-02
ACC-00289,Michael Jackson,Central Ltd,Business,Small Business,Trades,Bay of Plenty,Free,42,0.0,Unassigned,2023-08-08
ACC-00293,James Lopez,Island Consulting,Business,Small Business,Professional Services,Canterbury,Free,7,66.73,Unassigned,2019-09-02
ACC-00295,Mary Martin,Unknown,Residential,Corporate,Unknown,Otago,Basic,5,0.0,Unassigned,2020-07-30
ACC-00296,Linda Hernandez,Northern Systems,Business,Small Business,Professional Services,Canterbury,Free,9,0.0,Unassigned,2021-03-16
ACC-00297,Linda Jones,Island Ltd,Business,Individual,Retail,Canterbury,Enterprise,6,746.34,Sarah Chen,2023-05-13
ACC-00298,Karen Lopez,Unknown,Residential,Individual,Unknown,Hawke's Bay,Basic,4,45.25,Unassigned,2019-08-05
ACC-00299,David Martin,Alpha Consulting,Business,Small Business,Retail,Wellington,Premium,15,245.95,Mike Patterson,2018-07-25
ACC-00300,Charles Hernandez,Unknown,Residential,Individual,Unknown,Auckland,Enterprise,29,297.17,Mike Patterson,2023-01-30
ACC-00302,Jessica Garcia,Sterling Group,Business,Corporate,Professional Services,Auckland,Enterprise,1,282.49,Sarah Chen,2021-06-08
ACC-00303,Jennifer Lopez,Unknown,Residential,Corporate,Unknown,Otago,Free,41,163.3,Unassigned,2021-04-19
ACC-00304,Michael Gonzalez,Metro Systems,Business,Corporate,Education,Canterbury,Premium,1,294.66,Lisa Hartley,2021-02-08
